"DateTime";"GAP";"Others";"Kitchen";"Laundry";"Heater_AC";"Year";"Quarter";"Month";"Seasons";"Date";"Week";"Weekday";"Weekend";"DayTime";"Day";"Hour";"Minute"
2006-12-16 18:24:00;70,2666666666667;52,2666666666667;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;24
2006-12-16 18:25:00;89,3333333333333;72,3333333333333;0;1;16;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;25
2006-12-16 18:26:00;89,5666666666667;70,5666666666667;0;2;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;26
2006-12-16 18:27:00;89,8;71,8;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;27
2006-12-16 18:28:00;61,1;43,1;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;28
2006-12-16 18:29:00;58,6666666666667;39,6666666666667;0;2;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;29
2006-12-16 18:30:00;61,7;43,7;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;30
2006-12-16 18:31:00;61,6666666666667;43,6666666666667;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;31
2006-12-16 18:32:00;61,1333333333333;43,1333333333333;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;32
2006-12-16 18:33:00;61,0333333333333;43,0333333333333;0;2;16;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;33
2006-12-16 18:34:00;74,1333333333333;56,1333333333333;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;34
2006-12-16 18:35:00;90,2;72,2;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;35
2006-12-16 18:36:00;87,0666666666667;70,0666666666667;0;1;16;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;36
2006-12-16 18:37:00;87,8;68,8;0;2;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;37
2006-12-16 18:38:00;67,5666666666667;49,5666666666667;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;38
2006-12-16 18:39:00;56,4;39,4;0;0;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;39
2006-12-16 18:40:00;54,5;37,5;0;0;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;40
2006-12-16 18:41:00;57,1666666666667;40,1666666666667;0;0;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;41
2006-12-16 18:42:00;54,4333333333333;36,4333333333333;0;0;18;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;42
2006-12-16 18:43:00;62,1333333333333;45,1333333333333;0;0;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;43
2006-12-16 18:44:00;98,2333333333333;82,2333333333333;0;0;16;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;44
2006-12-16 18:45:00;128,433333333333;111,433333333333;0;0;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;45
2006-12-16 18:46:00;117,1;101,1;0;0;16;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;46
2006-12-16 18:47:00;86,2333333333333;69,2333333333333;0;0;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;47
2006-12-16 18:48:00;74,5666666666667;57,5666666666667;0;0;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;48
2006-12-16 18:49:00;54,1333333333333;37,1333333333333;0;0;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;49
2006-12-16 18:50:00;53,9333333333333;36,9333333333333;0;0;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;50
2006-12-16 18:51:00;53,8;36,8;0;0;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;51
2006-12-16 18:52:00;54,3;37,3;0;0;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;52
2006-12-16 18:53:00;52,9666666666667;35,9666666666667;0;0;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;53
2006-12-16 18:54:00;45,3333333333333;28,3333333333333;0;0;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;54
2006-12-16 18:55:00;62,6333333333333;45,6333333333333;0;0;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;55
2006-12-16 18:56:00;72,3666666666667;56,3666666666667;0;0;16;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;56
2006-12-16 18:57:00;75,2;58,2;0;0;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;57
2006-12-16 18:58:00;67,6333333333333;50,6333333333333;0;0;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;58
2006-12-16 18:59:00;41,2;24,2;0;0;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Afternoon";16;18;59
2006-12-16 19:00:00;46,5;28,5;0;0;18;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;0
2006-12-16 19:01:00;43,7333333333333;26,7333333333333;0;0;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;1
2006-12-16 19:02:00;46,2;29,2;0;0;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;2
2006-12-16 19:03:00;62,3333333333333;28,3333333333333;0;16;18;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;3
2006-12-16 19:04:00;82,1333333333333;29,1333333333333;0;37;16;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;4
2006-12-16 19:05:00;100,866666666667;46,8666666666667;0;37;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;5
2006-12-16 19:06:00;112,533333333333;59,5333333333333;0;36;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;6
2006-12-16 19:07:00;107,9;54,9;0;37;16;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;7
2006-12-16 19:08:00;105,133333333333;52,1333333333333;0;36;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;8
2006-12-16 19:09:00;74,4;21,4;0;37;16;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;9
2006-12-16 19:10:00;56,6;16,6;0;22;18;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;10
2006-12-16 19:11:00;51,5;22,5;0;12;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;11
2006-12-16 19:12:00;62,1666666666667;18,1666666666667;0;27;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;12
2006-12-16 19:13:00;38,4666666666667;20,4666666666667;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;13
2006-12-16 19:14:00;39,8;21,8;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;14
2006-12-16 19:15:00;76,6333333333333;39,6333333333333;0;20;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;15
2006-12-16 19:16:00;75,4;49,4;0;9;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;16
2006-12-16 19:17:00;70,0333333333333;52,0333333333333;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;17
2006-12-16 19:18:00;74,5333333333333;57,5333333333333;0;1;16;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;18
2006-12-16 19:19:00;47,5333333333333;29,5333333333333;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;19
2006-12-16 19:20:00;48,8;30,8;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;20
2006-12-16 19:21:00;49;30;0;2;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;21
2006-12-16 19:22:00;48,9;30,9;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;22
2006-12-16 19:23:00;48,7666666666667;30,7666666666667;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;23
2006-12-16 19:24:00;57,5333333333333;39,5333333333333;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;24
2006-12-16 19:25:00;81,1666666666667;63,1666666666667;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;25
2006-12-16 19:26:00;81,1333333333333;63,1333333333333;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;26
2006-12-16 19:27:00;81,1;63,1;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;27
2006-12-16 19:28:00;52,9333333333333;34,9333333333333;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;28
2006-12-16 19:29:00;48,6666666666667;30,6666666666667;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;29
2006-12-16 19:30:00;48,8333333333333;30,8333333333333;0;1;17;"2006";"Fall";"December";NA;"Dec 2006";50;"Saturday";"Weekend";"Evening";16;19;30
